Position,Club, Merit Prize (€M) ,TV Revenue Range (€M),Notes, Average TV Revenue (€M) ,,
1,FC Barcelona," 59,500,000 ",175-185,Dominant commercial + merit," 180,000,000 ",,
2,Real Madrid," 49,500,000 ",165-175,Highest or near-highest commercial," 170,000,000 ",,
3,Villarreal CF," 45,500,000 ",100-110,Strong European performance boost," 105,000,000 ",,
4,Atlético Madrid," 38,500,000 ",125-135,Solid commercial base," 130,000,000 ",,
5,Real Betis," 31,500,000 ",90-100,Consistent mid-high earner," 95,000,000 ",,
6,Celta Vigo," 24,500,000 ",75-85,Mid-table + audience factors," 80,000,000 ",,
7,Getafe CF," 17,500,000 ",65-75,Mostly equal + modest merit," 70,000,000 ",,
8,Rayo Vallecano," 12,500,000 ",60-70,No note," 65,000,000 ",,
9,Valencia CF," 10,500,000 ",65-75,Historic brand value," 70,000,000 ",,
10,Real Sociedad," 9,600,000 ",70-80,European pedigree helps," 75,000,000 ",,
11,RCD Espanyol," 8,750,000 ",55-60,No note," 57,500,000 ",,
12,Athletic Club," 7,880,000 ",70-78,Strong local commercial/attendance," 74,000,000 ",,
13,Sevilla FC," 7,000,000 ",60-70,Brand value," 65,000,000 ",,
14,Deportivo Alavés," 6,130,000 ",50-55,No note," 52,500,000 ",,
15,Levante UD," 5,250,000 ",48-52,No note," 50,000,000 ",,
16,CA Osasuna," 4,380,000 ",47-52,No note," 49,500,000 ",,
17,Elche CF," 3,500,000 ",45-50,No note," 47,500,000 ",,
18,Girona FC," 2,630,000 ",52-58,Recent European exposure," 55,000,000 ",,
19,RCD Mallorca," 1,750,000 ",45-50,No note," 47,500,000 ",,
20,Real Oviedo," 800,000 ",40-45,Lowest overall," 42,500,000 ",,
